date, pm25, pm10, o3, no2, co
2017/10/2, 52, 49, 40, 21, 72
2017/10/3, 55, 54, 36, 23, 85
2017/10/4, 61, 55, 30, 25, 79
2017/10/5, 62, 51, 35, 26, 71
2017/10/6, 57, 45, 35, 19, 80
2017/10/7, 50, 37, 28, 19, 70
2017/10/8, 41, 33, 36, 20, 66
2017/10/9, 36, 30, 36, 19, 58
2017/10/10, 33, 33, 29, 18, 72
2017/10/11, 38, 36, 39, 18, 75
2017/10/12, 40, 31, 41, 19, 56
2017/10/13, 35, 29, 41, 19, 49
2017/10/14, 32, 35, 36, , 46
2017/10/15, 39, 35, 32, 20, 46
2017/10/16, 38, 47, 66, 24, 50
2017/10/17, 52, 86, 66, 50, 74
2017/10/18, 108, 125, 55, 80, 68
2017/10/19, 206, 193, 91, 86, 43
2017/10/20, 307, 175, 91, 71, 37
2017/10/21, 286, 131, 66, 61, 39
2017/10/22, 231, 126, 66, 67, 71
2017/10/23, 216, 128, 44, 88, 86
2017/10/24, 221, 126, 44, 101, 75
2017/10/25, 213, 121, 28, 88, 81
2017/10/26, 192, 124, 35, 80, 66
2017/10/27, 204, 110, 50, 70, 67
2017/10/28, 167, 90, 65, 59, 53
2017/10/29, 101, 96, 62, 63, 57
2017/10/30, 109, 103, 67, 65, 53
2017/10/31, 128, 104, 78, 67, 43
2017/11/1, 127, 107, 87, 71, 54
2017/11/2, 136, 111, 94, 75, 56
2017/11/3, 153, , , , 
