date, pm25, pm10, o3, no2, co
2020/6/20, 89, 67, 23, 2, 13
2020/6/21, 122, 58, 29, 3, 14
2020/6/22, 126, 47, 13, 2, 13
2020/6/23, 97, 50, 1, 2, 13
2020/6/24, 100, 57, 16, 5, 15
2020/6/25, 131, 105, 86, 6, 17
2020/6/26, 150, 92, 24, 6, 15
2020/6/27, 79, 172, 6, 4, 16
2020/6/28, 128, 104, 8, 6, 16
2020/6/29, 127, 70, 14, 3, 15
2020/6/30, 123, 70, 20, 3, 16
2020/1/1, 333, 296, 22, 9, 31
2020/1/2, 320, 195, 61, 7, 25
2020/1/3, 258, 276, 135, 10, 25
2020/1/4, 315, 167, 52, 9, 10
2020/1/5, 250, 171, 24, 8, 12
2020/1/6, 226, 117, 5, 4, 9
2020/1/7, 195, 107, 4, 2, 10
2020/1/8, 197, 91, 5, 2, 8
2020/1/9, 171, 143, 17, 3, 13
2020/1/10, 199, 180, 19, 4, 16
2020/1/11, 199, 241, 23, 3, 20
2020/1/12, 266, 215, 17, 3, 17
2020/1/13, 281, 132, 15, 2, 12
2020/1/14, 212, 125, 21, 3, 10
2020/1/15, 194, 128, 15, 3, 11
2020/1/16, 206, 85, 8, 2, 10
2020/1/17, 157, 149, 13, 5, 15
2020/1/18, 203, 129, 15, 5, 12
2020/1/19, 190, 189, 10, 7, 20
2020/1/20, 219, 201, 16, 6, 19
2020/1/21, 245, 194, 14, 8, 21
2020/1/22, 237, 95, 20, 6, 9
2020/1/23, 148, 106, 22, 7, 10
2020/1/24, 159, 170, 24, 8, 14
2020/1/25, 212, 256, 23, 6, 19
2020/1/26, 283, 205, 14, 8, 33
2020/1/27, 262, 94, 17, 4, 11
2020/1/28, 175, 90, 18, 5, 10
2020/1/29, 156, 98, 19, 5, 10
2020/1/30, 156, 103, 19, 6, 11
2020/1/31, 158, 116, 21, 5, 11
2020/2/1, 180, 116, 22, 6, 11
2020/2/2, 178, 147, 26, 7, 15
2020/2/3, 193, 188, 31, 6, 17
2020/2/4, 224, 147, 22, 6, 12
2020/2/5, 200, 133, 27, 6, 12
2020/2/6, 178, 145, 28, 7, 14
2020/2/7, 200, 128, 25, 4, 13
2020/2/8, 189, 132, 30, 6, 14
2020/2/9, 201, 208, 85, 12, 20
2020/2/10, 234, 242, 48, 13, 21
2020/2/11, 251, 170, 25, 9, 16
2020/2/12, 196, 114, 23, 6, 12
2020/2/13, 155, 105, 22, 4, 10
2020/2/14, 142, 116, 27, 7, 11
2020/2/15, 151, 142, 31, 8, 17
2020/2/16, 177, 215, 29, 8, 27
2020/2/17, 211, 151, 30, 8, 22
2020/2/18, 170, 159, 30, 5, 25
2020/2/19, 187, 135, 29, 3, 12
2020/2/20, 175, 58, 46, 2, 9
2020/2/21, 103, 78, 20, 4, 14
2020/2/22, 133, 100, 36, 4, 11
2020/2/23, 156, 99, 29, 5, 12
2020/2/24, 144, 133, 26, 7, 15
2020/2/25, 177, 165, 30, 6, 17
2020/2/26, 191, 116, 27, 4, 13
2020/2/27, 170, 109, 27, 3, 11
2020/2/28, 164, 90, 22, 3, 10
2020/2/29, 132, 88, 27, 4, 13
2020/3/1, 115, 160, 28, 7, 23
2020/3/2, 185, 118, 10, 7, 15
2020/3/3, 146, 108, 29, 4, 12
2020/3/4, 157, 52, 24, 3, 10
2020/3/5, 115, 25, 17, 3, 9
2020/3/6, 54, 59, 22, 3, 11
2020/3/7, 105, 107, 26, 6, 16
2020/3/8, 152, 81, 21, 5, 12
2020/3/9, 118, 101, 31, 4, 13
2020/3/10, 155, 81, 25, 3, 11
2020/3/11, 145, 106, 20, 5, 13
2020/3/12, 139, 98, 25, 5, 11
2020/3/13, 138, 58, 15, 6, 11
2020/3/14, 102, 83, 26, 6, 12
2020/3/15, 135, 97, 29, 7, 13
2020/3/16, 140, 99, 28, 7, 14
2020/3/17, 138, 118, 33, 10, 14
2020/3/18, 158, 126, 31, 13, 16
2020/3/19, 174, 112, 34, 14, 18
2020/3/20, 164, 106, 35, 11, 15
2020/3/21, 150, 88, 31, 6, 13
2020/3/22, 148, 73, 30, 5, 12
2020/3/23, 125, 73, 26, 5, 12
2020/3/24, 134, 56, 19, 4, 11
2020/3/25, 100, 57, 14, 3, 12
2020/3/26, 96, 34, 15, 2, 11
2020/3/27, 64, 33, 15, , 11
2020/3/28, 74, 43, 20, 2, 10
2020/3/29, 84, 44, 23, 3, 12
2020/3/30, 79, 52, 25, 3, 12
2020/3/31, 95, 51, 28, 3, 12
2019/10/1, 91, 66, 25, 8, 6
2019/10/2, 102, 119, 43, 9, 9
2019/10/3, 148, 77, 33, 9, 7
2019/10/4, 123, 85, 38, 9, 7
2019/10/5, 113, 105, 29, 9, 7
2019/10/6, 147, 105, 23, 8, 7
2019/10/7, 140, 85, 27, 6, 120
2019/10/8, 111, 110, 22, 7, 210
2019/10/9, 154, 132, 32, 8, 5
2019/10/10, 174, 166, 73, 7, 14
2019/10/11, 186, 165, 82, 6, 15
2019/10/12, 189, 263, 47, 6, 17
2019/10/13, 229, 179, 45, 7, 6
2019/10/14, 199, 196, 33, 7, 9
2019/10/15, 208, 176, 31, 5, 6
2019/10/16, 208, 146, 32, 3, 4
2019/10/17, 181, 133, 39, 3, 3
2019/10/18, 157, 121, 43, 5, 4
